WBAN Number|WMO Number|Call Sign|Climate Division Code|Climate Division State Code|Climate Division Station Code|Name|Location|Address|Latitude|Longitude|Ground Height|Station Height|Barometer Height|Time Zone
53855||HAO||||HAMILTON, OH|BUTLER CO. REGIONAL ARPT||39.22|-84.31|634|634|634|
53858||PQL||||PASCAGOULA, MS|PASCAGOULA LOTT INT'L AP||30.28|-88.32|13|13|13|
53859||MGY||||DAYTON, OH|DAYTON WRIGHT BRO AIRPORT||39.35|-84.14|962|962|962|
53860||CRG||||JACKSONVILLE, FL|JACKSONVILLE CRIG MUNI||30.20|-81.31|42|42|42|
53862||40J||||PERRY-FOLEY, FL|PERRY-FOLEY AIRPORT||30.04|-83.34|45|45|45|
53863||PDK||||ATLANTA, GA|DE KALB-PEACHTREE AIRPORT||33.53|-84.18|1002|1002|1002|
53864||EET||||ALABASTER, AL|ALABASTER SHELBY CO AIRPT||33.11|-86.47|584|584|584|
53865||ASD||||SLIDELL, LA|SLIDELL AIRPORT||30.20|-89.49|28|28|28|
53866||GEZ||||SHELBYVILLE, IN|MUNICIPAL AIRPORT||39.35|-85.48|804|804|804|
53867||CUB||||COLUMBIA, SC|COLUMBIA OWENS DOWNTOWN AP||33.58|-81|212|212|212|
53868||OQT||||OAK RIDGE, TN|OAK RIDGE||36.01|-84.14|910|910|910|
53869||HKA||||BLYTHEVILLE, AR|BLYTHEVILLE MUNI AIRPORT||35.56|-89.5|255|255|255|
53870||AKH||||GASTONIA, NC|GASTONIA MUNICIPAL AIRPORT||35.12|-81.1|797|797|797|
53871||UZA||||ROCK HILL, SC|ROCK HILL-YORK COUNTY APT||34.59|-81.04|669|669|669|
53872||EQY||||MONROE, NC|MONROE AIRPORT||35.01|-80.37|679|679|679|
53901||UNO||||WEST PLAINS, MO|WEST PLAINS MUNICIPAL AP||36.53|-91.54|1228|1228|1228|
53902||CXO||||CONROE, TX|MONTGOMERY COUNTY AIRPORT||30.21|-95.25|247|247|247|
53903||UTS||||HUNTSVILLE, TX|HUNTSVILLE MUNICIPAL||30.45|-95.35|366|366|366|
53904||SET||||ST. CHARLES, MO|ST. CHARLES SMARTT AIRPORT||38.56|-90.26|438|438|438|
53905||DTN||||SHREVEPORT, LA|SHREVEPORT DOWNTOWN AP||32.32|-93.44|179|179|179|
53907||GKY||||ARLINGTON, TX|ARLINGTON MUNICIPAL AIRPORT||32.40|-97.05|630|630|630|
53908||RVS||||TULSA, OK|JONES JR AIRPORT||36.02|-95.59|638|638|638|
53909||AFW||||FT. WORTH, TX|FT. WORTH ALLIANCE ARPT||32.58|-97.19|722|722|722|
53910||DWH||||HOUSTON, TX|HOOKS MEMORIAL AIRPT||30.04|-95.33|152|152|152|
53911||TRL||||TERREL, TX|TERREL MUNICIPAL AIRPORT||32.43|-96.16|475|475|475|
53912||CRS||||CORSICANA, TX|CAMPBELL FLD-CORSICANA MU||32.02|-96.24|448|448|448|
53913||GOK||||GUTHRIE, OK|GUTHRIE MUNICIPAL AIRPORT||35.51|-97.25|1068|1068|1068|
53914||TKI||||MCKINNEY, TX|McKINNEY MUNICIPAL AIRPORT||33.11|-96.35|585|585|585|
53915||ARA||||NEW IBERIA, LA|NEW IBERIA ACADIANA REG AP||30.02|-91.53|24|24|24|
53916||CDJ||||CHILLICOTHE, MO|AGRI-SCIENCE CENTER||39.49|-93.35|769|769|769|
53917||NEW||||NEW ORLEANS, LA|LAKEFRONT AIRPORT||30.02|-90.02|9|9|9|
53918||BPK||||MOUNTAIN HOME, AR|BAXTER CO REGIONAL AIRPORT||36.22|-92.28|928|928|928|
53919||LLQ||||MONTICELLO, AR|MONTICELLO MUNICIPAL APT||33.38|-91.45|270|270|270|
53920||RUE||||RUSSELLVILLE, AR|MUNICIPAL AIRPORT||35.16|-93.05|403|403|403|
53921||MWT||||MOUNT IDA, AR|MOUNT IDA||34.33|-93.35|702|702|702|
53922||XNA||||FAYETTEVILLE/SPRINGDALE, AR|NW ARKANSAS REGIONAL AIRPT||36.17|-94.19|1287|1287|1287|
54704||OWD||||NORWOOD, MA|NORWOOD MEMORIAL AIRPORT||42.11|-71.1|50|50|50|
54728||HIE||||WHITEFIELD, NH|MT WASHINGTON REGIONAL||44.22|-71.32|1074|1045|1045|
54733||BVY||||BEVERLY, MA|BEVERLY MUNICIPAL AIRPORT||42.35|-70.55|108|108|108|
54734||DXR||||DANBURY, CT|DANBURY MINICIPAL AIRPORT||41.22|-73.29|458|458|458|
54737||LNS||||LANCASTER, PA|LANCASTER AIRPORT||40.07|-76.17|403|403|403|
54740||VSF||||SPRINGFIELD, VT|HARTNESS STATE AIRPORT||43.20|-72.31|577|577|577|
54742||1V4||||SAINT JOHNSBURY, VT|FAIRBANKS MUSEUM||44.25|-72.01|697|697|697|
54743||CDW||||CALDWELL, NJ|ESSEX COUNTY AIRPORT||40.53|-74.17|173|173|173|
54756||ORE||||ORANGE, MA|ORANGE MUNICIPAL AIRPORT||42.34|-72.17|555|555|555|
54757||ELZ||||WELLSVILLE, NY|WELLSVILLE MUNICIPAL ARPT||42.07|-77.59|2123|2123|2123|
54767||IJD||||WILLIMANTIC, CT|WINDHAM AIRPORT||41.44|-72.11|247|248|248|
54768||AQW||||NORTH ADAMS, MA|HARRIMAN-AND-WEST AIRPORT||42.42|-73.1|654|660|660|
54769||PYM||||PLYMOUTH, MA|PLYMOUTH REGIONAL||41.55|-70.44|149|149|143|
54770||AFN||27|4303|JAFFREY, NH|JAFFREY MUNICIPAL AIRPORT||42.49|-72|1040|1029|1029|
54771||MVL||43|5376|MORRISVILLE, VT|MORRISVILLE-STOWE STATE AP||44.32|-72.37|732|733|733|
54772||IZG||||FRYEBURG, ME|EASTERN SLOPES REGIONAL AP||43.59|-70.57|445|452|452|
54773||FZY||||FULTON, NY|OSWEGO COUNTY AIRPORT||43.21|-76.23|475|455|455|
54777||TAN||||TAUNTON, MA|TAUNTON MUNI AIRPORT||41.53|-71.01|25|25|25|
54778||PEO||||PENN YAN, NY|PENN YAN AIRPORT||42.38|-77.04|903|903|903|
54779||12N||||ANDOVER, NJ|AEROFLEX-ANDOVER AIRPORT||41.01|-74.44|583|583|583|
54780||MTP||||MONTAUK, NY|MONTAUK AIRPORT||41.04|-71.55|7|7|7|
54781||DDH||||BENNINGTON, VT|BENNINGTON MORSE ST AIRPT||42.53|-73.15|826|826|826|
54782||PTW||||POTTSTOWN, PA|POTTSTOWN LIMERICK AIRPORT||40.14|-75.34|291|291|291|
54785||SMQ||||SOMERVILLE, NJ|SOMERVILLE SOMERSET AIRPT||40.37|-74.4|105|105|105|
54786||DYL||||DOYLESTOWN, PA|DOYLESTOWN AIRPORT||40.20|-75.07|394|394|394|
54787||FRG||||FARMINGDALE, NY|FARMINGDALE-REPUBLIC AIRPT||40.44|-73.25|81|81|81|
54788||MMK||||MERIDEN, CT|MERIDEN-MARKHAM MUNI AIRPT||41.31|-72.5|103|103|103|
54789||MPO||||MT POCONO, PA|POCONO MTNS MUNI AIRPORT||41.08|-75.23|1916|1916|1916|
54790||HWV||||SHIRLEY, NY|BROOKHAVEN AIRPORT||40.49|-72.52|82|82|82|
54791||DAW||||ROCHESTER, NH|SKYHAVEN AIRPORT||43.17|-70.55|323|323|323|
54792||FIG||||CLEARFIELD, PA|CLEARFIELD-LAWRENCE||41.02|-78.25|1516|1516|1516|
61705|91765|NSTU|03|91|4690|PAGO PAGO, PC|AMERICAN SAMOA|NAT'L WEA SER OFC*P.O.BOX 789*PAGO PAGO,AMERICAN SAMOA*PACIFIC  96799*|14.20|-170.43|12|10|15|
92802||RRF||||NEW PORT RITCHIE, FL|TAMPA BAY EXECUTIVE|Note Sta De comm 1/11/99, FAA moving site to BENTONVILLE, ALA|28.11|-82.38|41|40|40|
92805||PMP||||POMPANO BEACH, FL|POMPANO BEACH AIRPARK||26.15|-80.07|20|20|20|
92806||SPG||||ST PETERSBURG, FL|WHITTED AIRPORT||27.46|-82.38|8|8|8|
92809||HWO||||HOLLYWOOD, FL|NORTH PERRY AIRPORT||26.00|-80.14|9|9|9|
93005||DRO||||DURANGO, CO|DURANGO||37.08|-107.46|6685|6685|6675|
93009||LXV||||LEADVILLE, CO|LEADVILLE/LAKE COUNTY APT||39.14|-106.19|9927|9927|9927|
93010|74532|LIC||||LIMON, CO|5 MI SOUTH OF LIMON|NAT'L WEA SER MET OBS*47156 STATE ROAD 71*LIMON, CO.*80828-8908*|39.11|-103.43|5557|5562|5562|
93013||MTJ||||MONTROSE, CO|MONTROSE REGIONAL||38.31|-107.54|5759|5742|5742|
93027||SJN||||ST JOHNS, AZ|ST JOHNS INDUSTRIAL AIRPT||34.31|-109.23|5733|5733|5733|
93037|72466|COS|01|05|1778|COLORADO SPRINGS, CO|COLORADO SPRINGS MUNICIPAL AP|NAT'L WEA SER OFC*1599 AVIATION WAY*COLORADO SPRINGS, CO 80916-2709|38.49|-104.43|6090|6090|6090|
93045|72271|TCS|05|29|9129|TRUTH OR CONSEQUENCES, NM|MUNICIPAL AIRPORT|FLIGHT SER STA/FAA*P.O. BOX 152*TRUTH OR CONSEQUENCES, NM 87901|33.14|-107.16|4820|4858|4826|
93057||GNT||29|3682|GRANTS, NM|GRANTS-MILAN MUNI AIRPORT||35.10|-107.54|6519|6519|6519|
93058|72464|PUB|01|05|6740|PUEBLO, CO|MEMORIAL AIRPORT|NAT'L WEA SER FCST OFC*31201 BRYAN CIRCLE,*MEMORIAL AIRPORT*PUEBLO  CO.81001-4891*|38.17|-104.3|4658|4658|4658|
93067||APA||||DENVER, CO|CENTENNIAL AIRPORT||39.34|-104.51|5883|5883|5883|
