WBAN Number|WMO Number|Call Sign|Climate Division Code|Climate Division State Code|Climate Division Station Code|Name|Location|Address|Latitude|Longitude|Ground Height|Station Height|Barometer Height|Time Zone
93841|722226|NSE||||WHITING FIELD, FL|NAVAL AIR STATION|NAVAL ATLANTIC METEOROLOGY AND*OCEANOGRAPHY DETACHMENT*NAVAL AIR S TATION  WHITING FIELD*MILTON  FL  32570-5160|30.43|-87.01|170|200|192|
93842|72225|CSG|04|09|2166|COLUMBUS, GA|METROPOLITAN AIRPORT|NAT'L WEA SER OFC*COLUMBUS METROPOLITAN ARPT*3100 AIRPORT THRUWAY* COLUMBUS, GA  31909*|32.31|-84.56|446|446|446|
93846||AND|02|38|0170|ANDERSON, SC|ANDERSON COUNTY AIRPORT||34.29|-82.43|782|782|782|
93862|72332|TUP|03|22|9003|TUPELO, MS|TUPELO MUNI/LEMONS AIRPORT|NAT'L WEA SER OFC*2704 W. JACKSON ST.*TUPELO, MS 38801|34.16|-88.46|347|347|347|
93874||GPT||||GULFPORT, MS|GULFPORT-BILOXI REGNL APT||30.25|-89.04|28|28|28|
93909|72447|IXD||||OLATHE, KS|JOHNSON COUNTY INDUSTRIAL||38.50|-94.53|1087|1087|1087|
93915||AEX||||ALEXANDRIA, LA|INTERNATIONAL AIRPORT||31.20|-92.34|89|89|89|
93950||MLC|06|34|5664|MCALESTER, OK|MUNICIPAL AIRPORT|FCWOS,ROUTE 8, BOX 210*MCALESTER REG. APT.*MCALESTER, OK.*74501*|34.54|-95.47|760|770|767|
93953||MKO||||MUSKOGEE, OK|DAVIS FIELD||35.40|-95.22|610|608|610|
93967||CFV||||COFFEYVILLE, KS|COFFEYVILLE MUNICIPAL AP||37.05|-95.34|752|740|740|
93986||HBR|07|34|4204|HOBART, OK|MUNICIPAL AIRPORT|FCWOS*RT 1 BOX 101A*HOBART,OK.*73651*|35.01|-99.03|1552|1570|1555|
93987||LFK|04|41|5424|LUFKIN, TX|ANGELINA COUNTY AIRPORT|FLIGHT SERVICE STA/FAA*ROUTE 1, BOX 70B*DIBOLL, TX.*75941*|31.14|-94.45|281|316|292|
93990||HLC||14|3660|HILL CITY, KS|HILL CITY MUNICIPAL AP||39.23|-99.5|2224|2221|2221|
93993||FYV||03|2443|FAYETTEVILLE, AR|DRAKE FIELD||36.01|-94.1|1251|1259|1259|
93997||RSL|05|14|7046|RUSSELL, KS|MUNICIPAL AIRPORT|WEATHER OFFICE - FCWOS*4243 AIRPORT TER STE C*RUSSELL, KS.*67665-9335*|38.52|-98.5|1864|1869|1869|
94008|72768|GGW|06|24|3558|GLASGOW, MT|INT'L AIRPORT|NAT'L WEA SER OFC*P.O. BOX 629*GLASGOW, MT  59230|48.13|-106.37|2276|2276|2276|
94012|72777|HVR|03|24|3996|HAVRE, MT|CITY-COUNTY AIRPORT|NAT'L WEA SER OFC*BOX 45 AIRPORT ROAD*HAVRE,MT 59501|48.34|-109.47|2582|2582|2582|
94014|72767|ISN|01|32|9425|WILLISTON, ND|SLOULIN FIELD INT'L AIRPORT|NAT'L WEA SER OFC*BOX #700*WILLISTON,ND.*58801-0700*|48.11|-103.38|1900|1900|1900|
94017||OLF||||WOLF POINT, MT|WOLF PT-CLAYTON AIRPORT||48.05|-105.34|1986|1986|1986|
94023||GCC||||GILLETTE, WY|GILLETTE-CAMPBELL CO. ARPT||44.20|-105.32|4363|4363|4363|
94030||VEL||||VERNAL, UT|VERNAL AIRPORT||40.26|-109.31|5274|5274|5274|
94032||CUT||||CUSTER, SD|CUSTER COUNTY AIRPORT||43.44|103.38|5602|5602|5602|
94037||2WX||||BUFFALO, SD|BUFFALO||45.36|-103.33|3004|3004|3004|
94038||HEI||||HETTINGER, ND|HETTINGER MUNICIPAL AIRPORT||46.01|-102.39|2705|2716|2716|
94039||IEN||||PINE RIDGE, SD|PINE RIDGE AIRPORT||43.01|-102.31|3331|3331|3331|
94040||MCK||25|5310|MCCOOK, NE|MCCOOK MUNICIPAL AIRPORT||40.13|-100.35|2579|2567|2567|
94041||N60||||GARRISON, ND|GARRISON||47.40|101.26|1910|1910|1910|
94050||EEO||||MEEKER, CO|MEEKER AIRPORT||40.03|-107.53|6390|6390|6390|
94051||JDN||||JORDAN, MT|JORDAN AIRPORT||47.20|-106.57|2661|2661|2661|
94052||MBG||||MOBRIDGE, SD|MOBRIDGE||45.33|-100.25|1715|1715|1715|
94053||TOR||||TORRINGTON, WY|TORRINGTON MUNICIPAL AIRPT||42.04|-104.09|4205|4205|4205|
94054||BYG||||BUFFALO, WY|JOHNSON COUNTY AIRPORT||44.23|-106.43|4968|4968|4968|
94055||BHK||||BAKER, MT|BAKER MUNICIPAL AIRPORT||46.22|-104.15|2971|2971|2971|
94056||D07||||FAITH, SD|FAITH||45.02|-102.01|2582|2582|2582|
94057||DGW||||DOUGLAS, WY|DOUGLAS CONVERSE CO AIRPT||42.48|-105.23|4929|4929|4929|
94107||REO||||ROME, OR|SCA ASOS||42.35|-117.52|4050|4050|4050|
94119||DEW||||DEER PARK, WA|DEER PARK AIRPORT||47.58|-117.25|2206|2206|2206|
94128||LGU||||LOGAN, UT|LOGAN-CACHE AIRPORT||41.47|-111.51|4454|4454|4454|
94129||PUW||||PULLMAN / MOSCOW, WA|PULLMAN/MOSCOW REGIONAL AP||46.44|-117.07|2551|2551|2551|
94173||P60||||YELLOWSTONE LAKE, WY|YELLOWSTONE LAKE||44.32|-110.25|7835|7835|7835|
94176||SFF||||SPOKANE, WA|FELTS FIELD||47.41|-117.19|1953|1953|1953|
94178||TWF||||TWIN FALLS, ID|JOSLIN FIELD-MAGIC VALLEY||42.29|-114.29|4151|4188|4151|
94182||MYL||||MCCALL, ID|MCCALL AIRPORT||44.53|-116.06|5120|5120|5120|
94185|72683|BNO|07|35|1175|BURNS, OR|MUNICIPAL APT.|NAT'L WEA SER MET OBS*MUNICIPAL AIRPORT*STAR RT.#1,BOX87-B*BURNS,OR. 97720*|43.35|-118.57|4146|4146|4146|
94194||RXE||||REXBURG, ID|REXBURG-MADISON COUNTY APT||43.50|-111.53|4858|4858|4858|
94197||OMK||||OMAK, WA|OMAK AIRPORT||48.28|-119.31|1301|1301|1301|
94224|72791|AST|01|35|0328|ASTORIA, OR|CLATSOP COUNTY AIRPORT|NAT'L WEA SER OFC (ASTORIA)*1110 S. E. FLIGHTLINE DRIVE*WARRENTON, OR 97146-9692|46.10|-123.53|10|10|10|
94227||SHN||||SHELTON, WA|SHELTON SANDERSON FIELD||47.14|123.08||269|269|
94236||LMT||||KLAMATH FALLS, OR|KLAMATH FALLS INTNAL ARPT||42.09|-121.43|4091|4091|4091|
94240|72797|UIL|01|45|6858|QUILLAYUTE, WA|QUILLAYUTE STATE AIRPORT|NAT'L WEA SER CONTRACT MET OBS*QUILLAYUTE AIRPORT*6096 QUILLAYUTE RD.*FORKS, WA. 98331*|47.56|-124.34|179|179|179|
94248||RNT||||RENTON, WA|RENTON MUNICIPAL AIRPORT||47.29|-122.13|29|29|29|
94261||HIO||||PORTLAND, OR|PORTLAND-HILLSBORO AIRPORT||45.32|-122.57|204|204|204|
94266||CLM||||PORT ANGELES, WA|WILLIAN R FAIRCHILD INT AP||48.07|-123.3|288|288|288|
94273||MMV||||MCMINNVILLE, OR|MCMINNVILLE MUNICIPAL||45.11|-123.08|159|160|160|
94274||TIW||||TACOMA, WA|TACOMA NARROWS AIRPORT||47.16|-122.35|315|315|315|
94276||FHR||||FRIDAY HARBOR, WA|FRIDAY HARBOR AIRPORT||48.31|-123.01|109|109|109|
94281||UAO||||AURORA, OR|AURORA STATE AIRPORT||45.15|-122.46|196|196|196|
94297||KNRA||||COUPEVILLE, WA|COUPEVILLE/NOLF||48.13|-122.38|199|199|199|
94298||VUO||||VANCOUVER, WA|PEARSON AIRPARK||45.37|-122.4|2139|2139|2139|
94299||AAT||||ALTURAS, CA|ALTURAS||41.29|-120.34|4374|4374|4374|
94623||IWI||||WISCASSET, ME|WISCASSET AIRPORT||43.58|-69.43|68|68|68|
94624||CQX||||CHATHAM, MA|CHATHAM MUNICIPAL AIRPORT||41.41|-69.59|72|63|63|
94626||GNR||||GREENVILLE, ME|MAINE FOREST SERVICE||45.28|-69.36|1028|1028|1028|
94700||BML||27|0694|BERLIN, NH|BERLIN MUNICIPAL||44.35|-71.11|1158|1132|1132|
94702|72504|BDR|03|06|0806|BRIDGEPORT, CT|SIKORSKY MEMORIAL AIRPORT|NAT'L WEA SER OFC.,NOAA*SIKORSKY MEM AP.BRIDGEPORT*STRATFORD, CT.*06497*|41.10|-73.09|26|26|26|
94704||DSV||||DANSVILLE, NY|DANSVILLE MUNICIPAL ARPT||42.34|-77.43|662|662|662|
94705||MPV|01|43|5278|BARRE/MONTPELIER, VT|KNAPP STATE AIRPORT|VERMONT METEOROLOGICAL SERVICES*E.F.KNAPP STATE APT*BARRE, VT.*05641*|44.12|-72.35|1126|1165|1128|
94720||HYA||||HYANNIS, MA|BARNSTABLE MINI AIRP||41.40|-70.17|73|73|73|
94723||LWM||||LAWRENCE, MA|LAWRENCE MUNICIPAL AIRPORT||42.43|-71.07|19|19|19|
94724||MVY||||MARTHAS VINEYARD, MA|MARTHAS VINEYARD AIRPORT||41.23|-70.37|68|68|68|
94725||MSS|08|30|5134|MASSENA, NY|ADMIN. BLDG.|CHIEF SPECIALIST-FSS/FAA*RD # 2*MASSENA, N.Y.*13662*|44.56|-74.51|202|214|219|
94726||EWB||19|5251|NEW BEDFORD, MA|NEW BEDFORD REGIONAL AIRPORT||41.41|-70.58|80|76|76|
94728|72503|NYC|04|30|5801|NEW YORK C.PARK, NY|CENTRAL PARK OBSERVATORY|NAT'L WEA SER FOR OFC        *30 ROCKEFELLER PLAZA* NEW YORK,N.Y. 10020|40.47|-73.58|158|158|158|
94732||PNE||36|6419|PHILADELPHIA, PA|NE PHILADELPHIA AIRPORT||40.05|-75.01|121|119|94|
94733||PLB||||PLATTSBURGH, NY|CLINTON COUNTY AIRPORT||44.41|-73.31|371|371|371|
94740||SLK||||SARANAC LAKE, NY|ADIRONDACK REGIONAL ARPORT||44.23|-74.13|1663|1663|1663|
94741||TEB||||TETERBORO, NJ|TETERBORO AIRPORT||40.51|-74.04|9|7|7|
94746||ORH|02|19|9923|WORCESTER, MA|WORCESTER REGIONAL AIRPORT||42.16|-71.53|998|998|998|
94765||LEB|02|27|3656|LEBANON, NH|LEBANON MUNICIPAL AIRPORT|FLIGHT SERVICE STATION/FAA*LEBANON REGIONAL AIRPORT*WEST LEBANON,N.H. 03784|43.38|-72.18|598|598|598|
94789|74486|JFK|04|30|5803|NEW YORK, NY|JFK INTERNATIONAL AIRPORT|WEA SER CONT MET OFC*RM. 2309 IAB #50*JFK INT'L AIRPORT*JAMAICA,N.Y. 11430*|40.40|-73.48|30|30|30|
94814|72638|HTL|04|20|3936|HOUGHTON LAKE, MI|ROSCOMMON COUNTY APRT|NAT'L WEA SER OFC NOAA *5220 E. HOUGHTON LAKE DR.*HOUGHTON LAKE, MI.*48629-9317*|44.22|-84.41|1154|1154|1154|
94815||AZO||||KALAMAZOO, MI|KALAMAZOO/BATTLE CREEK APT||42.14|-85.33|874|874|874|
94817||PTK||||PONTIAC, MI|OAKLAND CO. INTNL AIRPORT||42.40|-83.25|980|980|980|
94818||RAC||||RACINE, WI|BATTEN INTERNATIONAL AIRPT||42.46|-87.49|674|674|674|
94822|72543|RFD|01|11|7382|ROCKFORD, IL|GREATER ROCKFORD AIRPORT|NAT'L WEA SER OFC  *GREATER ROCKFORD ARPT*5 ARPT CIRCLE*ROCKFORD, ILL 61109|42.12|-89.05|727|727|727|
94823|72520|PIT|09|36|6993|PITTSBURGH, PA|GREATER PITTSBURGH INTL AP|NWS-CONTRACT MET OBS*AIRSIDE TERMINAL BLDG,ROOM 54056*GREATER PITTSBURGH INTN'L AIRPORT*PITTSBURGH, PA. 15231*|40.30|-80.14|1173|1173|1173|
94830|72536|TOL|01|33|8357|TOLEDO, OH|TOLEDO EXPRESS AIRPORT|NAT'L WEA SER OFC*TOLEDO EXPRESS AIRPORT*11013 AIRPORT HIGHWAY*SWANTON, OH  43558-9800*|41.35|-83.48|691|691|691|
94846|72530|ORD|02|11|1549|CHICAGO, IL|OHARE INTERNATIONAL AIRPORT|NAT'L WEA SER OFC*11600 W. IRVING PARK ROAD*P.O. BOX 66370*CHICAGO,IL.60666-0135*|41.59|-87.55|658|658|658|
94847|72537|DTW|00|20|2103|DETROIT, MI|METROPOLITAN AIRPORT|NAT'L WEA SER OFC*METROPOLITAN AIRPORT BLDG 348*DETROIT,MICH. 48242-1496|42.13|-83.21|641|641|641|
94849|72639|APN|04|20|0164|ALPENA, MI|PHELPS COLLINS AIRPORT|NAT'L WEA SER OFC*ALPENA COUNTY REGIONAL AIRPORT*ALPENA, MI.*49707-8136*|45.04|-83.35|689|689|689|
94855||OSH||||OSHKOSH, WI|WHITTMAN REGIONAL AIRPORT||43.59|-88.34|839|839|814|
94860|72635|GRR|08|20|3333|GRAND RAPIDS, MI|KENT COUNTY AIRPORT|NAT'L WEA SER OFC*KENT COUNTY APRT*5500-44TH ST., SE*GRAND RAPIDS, MI 49508-4055*|42.53|-85.31|786|786|786|
94870||CMI||||CHAMPAIGN/URBANA, IL|WILLARD AIRPORT||40.02|-88.17|754|763|763|
94871||BEH||20|0710|BENTON HARBOR, MI|BENTON HARBOR ROSS FIELD||42.08|-86.25|643|657|643|
94889||ARB||||ANN ARBOR, MI|ANN ARBOR MUNICIPAL ARPT||42.13|-83.44|839|839|839|
94892||DPA||||CHICAGO/DUPAGE, IL|DUPAGE AIRPORT||41.55|-88.15|758|758|758|
94893||IMT||||IRON MOUNTAIN, MI|IRON MOUNTAIN FORD AP||45.49|-88.07|1182|1182|1182|
94895||MIE||||MUNCIE, IN|DELAWARE CO-JOHNSON FD APT||40.14|-85.23|937|937|937|
94898||P58||||PORT HOPE, MI|PORT HOPE||44.01|.82705|590|590|590|
94899||P59||||COPPER HARBOR, MI|COPPER HARBOR||47.28|-87.53|626|626|626|
94908|72547|DBQ|03|13|2367|DUBUQUE, IA|MUNICIPAL AIRPORT|NAT'L WEA SER OFC*RR 3, BOX 198A-2*DUBUQUE, IA 52001-9555|42.24|-90.42|1070|1070|1070|
94910|72548|ALO|03|13|8706|WATERLOO, IA|L.B. MUNICIPAL AIRPORT|NAT'L WEA SER OFC*L.B. MUNICIPAL APRT RR2*WATERLOO, IA*50703-9677*|42.33|-92.24|865|865|865|
94929||ASX||||ASHLAND, WI|KENNEDY MEMORIAL AIRPORT||46.33|-90.55|826|826|826|
94938||BRD||21|0944|BRAINERD, MN|BRAINERD-CROW WING COUNTY||46.24|-94.08|1226|1223|1223|
94943||9V9||||CHAMBERLAIN, SD|CHAMBERLAIN MUNI AIRPORT||43.46|-99.19|1695|1695|1695|
94946||BBW||||BROKEN BOW, NE|BROKEN BOW MUNICIPAL ARPT||41.26|-99.38|2546|2546|2546|
94949||HSI||||HASTINGS, NE|HASTINGS MUNICIPAL||40.36|-98.26|1954|1941|1941|
94950||MHE||||MITCHELL, SD|MITCHELL MUNICIPAL AIRPORT||43.47|-98.02|1303|1303|1303|
94960||MIC||||MINNEAPOLIS, MN|CRYSTAL AIRPORT||45.04|-93.21|870|869|870|
94961||BDE|02|21|0515|BAUDETTE, MN|BAUDETTE INTERNATIONAL||48.44|-94.37|1084|1082|1082|
94963||FCM||||MINNEAPOLIS, MN|FLYING CLOUD AIRPORT||44.50|-93.28|906|906|906|
94967||PKD|02|21|6360|PARK RAPIDS, MN|PARK RAPIDS||46.54|-95.04|1443|1451|1451|
94971||EST||||ESTHERVILLE, IA|MUNICIPAL AIRPORT||43.25|-94.45|1317|1317|1317|
94973||HYR||||HAYWARD, WI|HAYWARD MUNICIPAL AIRPORT||46.02|-91.26|1215|1214|1214|
94978||TQE||||TEKAMAH, NE|TEKAMAH MUNICIPAL AIRPORT||41.46|-96.11|1027|1025|1025|
94982||DVN||||DAVENPORT, IA|DAVENPORT MUNICIPAL AIRPT||41.37|-90.35|753|749|749|
94985||MFI||||MARSHFIELD, WI|MARSHFIELD MUNICIPAL AIRPORT||44.38|-90.11|1277|1246|1246|
94988||MIW||||MARSHALLTOWN, IA|MARSHALLTOWN MUNICIPAL AP||42.07|-92.55|974|974|974|
94989||AMW||||AMES, IA|AMES MUNICIPAL AIRPORT||41.59|-93.37|947|947|947|
94990||SFD||||WINNER, SD|WILEY FIELD||43.23|-99.5|2032|2032|2032|
94991||LWD||||LAMONI, IA|LAMONI AIRPORT||40.38|-93.54|1131|1131|1131|
94992||GNA||||GRAND MARAIS, MN|THE BAY OF GRAND MARAIS||47.45|-90.2|610|610|610|
94993||8D3||||SISSETON, SD|SESSETON MUNICIPAL AIRPORT||45.40|-96.59|1161|1161|1161|
94994||OVS||||BOSCOBEL, WI|BOSCOBEL AIRPORT||43.10|-90.41|672|672|672|
99901||ST1||||STERLING #3, VA|DULLES||0.00|0|0|0|0|
